StatusID,Name (tooltip),Status,Account,Due Day,Autopay,Amount,Category,Days Left,URL
1,Kansas Mutual,Unpaid,Transcription,17,y,$268.00,Insurance,7,
2,Midwest Energy,Unpaid,Transcription,10,y,$150.00,House Maintenance,0,
0,SSA,Paid,Transcription,15,y,"$2,100.00",Income,5,
2,Amazon Prime,Unpaid,Transcription,8,y,$11.00,Entertainment,-2,
1,CuofA,Unpaid,Nostalgic,25,n,$233.00,Bucket,15,
2,DuoLingo,Unpaid,Transcription,11,y,$19.00,Education,1,
2,Unruh,Unpaid,Transcription,12,y,$28.00,House Maintenance,2,
1,BofA,Unpaid,Nostalgic,16,n,$540.00,Bucket,6,
2,T-Mobile,Unpaid,Nostalgic,15,n,$145.00,House Maintenance,5,
,Ambetter,,Nostalgic,15,y,,,5,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,Nostalgic,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
